video_id,author,comment,like_count,date,topic,year
JTEhv7JCRF0,@iingfatmawati3471,bapa posisi di celegon klo di celegon saya pengin sekolah pertanian,31,2025-05-21T08:24:56Z,pengendalian hama,2025
JTEhv7JCRF0,@RohmatSaputra-zg1hf,itu bisa di campur dengan pupuk ultradap ndak,0,2026-01-04T16:35:57Z,pengendalian hama,2026
JTEhv7JCRF0,@Yoss-m5x,terima kasih pak atas pembekalan ilmunya semoga bapak dan keluarga sehat selalu,0,2026-01-03T13:47:10Z,pengendalian hama,2026
JTEhv7JCRF0,@DedyAjah-j2k5w,untuk dosis nya gimana pak,0,2026-01-03T07:08:08Z,pengendalian hama,2026
JTEhv7JCRF0,@AkangJalu-r8s,maaf saya dari pandeglang alamat bapak di mana sy mau belajar tani cabai,0,2025-12-31T23:50:11Z,pengendalian hama,2025
JTEhv7JCRF0,@YusufBahri-u4l,assamualaikum bpk salam kenal dari banyuwangi semoga shat slalu,0,2025-12-29T06:48:31Z,pengendalian hama,2025
JTEhv7JCRF0,@SohibulWafa-u9i,pembahasan sederhana dan mudah di mengerti mantab mbah,0,2025-12-27T05:24:43Z,pengendalian hama,2025
JTEhv7JCRF0,@SohibulWafa-u9i,bagaimana dengan sop bertani pepaya,0,2025-12-27T05:02:26Z,pengendalian hama,2025
JTEhv7JCRF0,@gedeputra9704,jenis atau obat yg cocok untuk patekdan busuk buah,0,2025-12-25T13:13:19Z,pengendalian hama,2025
JTEhv7JCRF0,@karyono5859,insektisida dan fungisida apa yg bagus bwt tanaman cabe keriting,0,2025-12-25T00:37:51Z,pengendalian hama,2025
JTEhv7JCRF0,@AnangHeman,asalamu alakum pak hji ikut nyimak klw pnyepreyan prtama curakron mancozep apakah masih bisa di tambah krotalonil misal nya jadi macam apakah jangan,0,2025-12-24T12:44:05Z,pengendalian hama,2025
JTEhv7JCRF0,@MisrunahmadZaenudin-b7c,trima ksih sekali atas penjelanya semoga bpk sht semoga ilmunya ber manfaat,0,2025-12-23T23:44:43Z,pengendalian hama,2025
JTEhv7JCRF0,@SitiMarwiyah-b7z,makasih bapak mudah dipahami cara penyampaiannya semoga bapak guru slalu sehat dan panjang umur amin,0,2025-12-22T17:47:58Z,pengendalian hama,2025
JTEhv7JCRF0,@ImronKurniawan-k3j4y,pak untuk ambiton bagusnya dcampur sma pupuk apa pestisida untuk dosis ambtion perliter brapa pak dan pengunaan interval berapa takutnya keseringan nnti over zpt,0,2025-12-22T17:26:23Z,pengendalian hama,2025
JTEhv7JCRF0,@realmeponsel9955,pemaparannya cukup jelas pak kalau bisa lebih bagus leiv langsung,0,2025-12-21T02:22:50Z,pengendalian hama,2025
JTEhv7JCRF0,@hattea5474,maaf pak mau tanya kalau pagi hari spray cabe menggunakan copside lalu sore hari spray insektisida boleh tidak,0,2025-12-20T01:54:36Z,pengendalian hama,2025
JTEhv7JCRF0,@najiyullah880,untuk penggunaan pupuk spray sama semprot fungi dan insek apa harus ada jeda hari,0,2025-12-17T04:53:29Z,pengendalian hama,2025
JTEhv7JCRF0,@sugionosopiyah5667,saya baru mau belajar tanam cabe ingin sekali dibina trimakasih banyak p haji,0,2025-12-16T12:25:59Z,pengendalian hama,2025
JTEhv7JCRF0,@Jurismankampar,aku suka penjelasannya seperti dosen ku,0,2025-12-15T05:52:16Z,pengendalian hama,2025
JTEhv7JCRF0,@SaktiDewi,hadir om saya dari jatim saya slalu mengikuti acara cara n tutorial dari m pinginya praktek namun msh susah dana,0,2025-12-14T05:27:56Z,pengendalian hama,2025
JTEhv7JCRF0,@AiAndini-y9x,temakasih saya babu pemula nanam cabe,0,2025-12-13T20:29:31Z,pengendalian hama,2025
JTEhv7JCRF0,@suwarso1159,izn ikut belajar pak,0,2025-12-13T14:38:16Z,pengendalian hama,2025
JTEhv7JCRF0,@Syahrul-d1i,makasih atas ilmunya pak,0,2025-12-13T05:54:06Z,pengendalian hama,2025
JTEhv7JCRF0,@husnifadli2001,terima kasih pak ilmunya soalnya sya bru permula menanam cabe dipolibet untuk lahan sempit semoga dengan ilmu yg bpk berikan menjadi pembelajaran untuk saya sebagai pemula,0,2025-12-13T01:26:53Z,pengendalian hama,2025
JTEhv7JCRF0,@CeoLiu,mantap pak sy tanam cabai daun kering,0,2025-12-13T00:10:00Z,pengendalian hama,2025
JTEhv7JCRF0,@PetualangJurus,di campur apa gak insektisida dan fungisida nya ya,0,2025-12-11T11:09:49Z,pengendalian hama,2025
JTEhv7JCRF0,@Sumaji-k5p,mantap pak penjelasannya,0,2025-12-10T07:37:30Z,pengendalian hama,2025
JTEhv7JCRF0,@LautikGinting,terimakasih abah atas penjelasannya penyampaian nya bagi saya sangat bagus gampang sekali di pahami maturnuwun abah,0,2025-12-10T04:10:45Z,pengendalian hama,2025
JTEhv7JCRF0,@solemansoleman0101,pak bagaimana soal media tanam cabe,0,2025-12-10T03:44:29Z,pengendalian hama,2025
JTEhv7JCRF0,@pedrosa08w,pak mau tanya curacron apa bisa buat ngobatin daun kriting,0,2025-12-09T15:42:47Z,pengendalian hama,2025
JTEhv7JCRF0,@yusranagus6293,ijin nanya pak de apakah avidor bisa dicampur pegasus,0,2025-12-09T15:11:37Z,pengendalian hama,2025
